,key_6hex_6h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_6hex,timestamp
92,861f1886fffffff_2017-03-02 06:00:00,77.0,5370.0,69.74025974025976,0.0,0.0,0.0,69.74025974025975,861f1886fffffff,2017-03-02 06:00:00
93,861f1886fffffff_2017-03-02 12:00:00,61.0,3985.0,65.32786885245902,6.0,375.0,62.5,65.07462686567165,861f1886fffffff,2017-03-02 12:00:00
94,861f1886fffffff_2017-03-02 18:00:00,47.0,4045.0,86.06382978723404,1.0,40.0,40.0,85.10416666666667,861f1886fffffff,2017-03-02 18:00:00
95,861f1886fffffff_2017-03-03 00:00:00,5.0,145.0,29.0,1.0,20.0,20.0,27.5,861f1886fffffff,2017-03-03 00:00:00
96,861f1886fffffff_2017-03-03 06:00:00,57.0,3370.0,59.122807017543856,2.0,55.0,27.5,58.05084745762712,861f1886fffffff,2017-03-03 06:00:00
97,861f1886fffffff_2017-03-03 12:00:00,70.0,3150.0,45.0,1.0,20.0,20.0,44.647887323943664,861f1886fffffff,2017-03-03 12:00:00
98,861f1886fffffff_2017-03-03 18:00:00,44.0,1570.0,35.68181818181818,0.0,0.0,0.0,35.68181818181818,861f1886fffffff,2017-03-03 18:00:00
99,861f1886fffffff_2017-03-04 00:00:00,4.0,105.0,26.25,0.0,0.0,0.0,26.25,861f1886fffffff,2017-03-04 00:00:00
100,861f1886fffffff_2017-03-04 06:00:00,75.0,6140.0,81.86666666666666,0.0,0.0,0.0,81.86666666666666,861f1886fffffff,2017-03-04 06:00:00
101,861f1886fffffff_2017-03-04 12:00:00,59.0,3680.0,62.37288135593221,2.0,60.0,30.0,61.31147540983606,861f1886fffffff,2017-03-04 12:00:00
102,861f1886fffffff_2017-03-04 18:00:00,38.0,1350.0,35.526315789473685,2.0,90.0,45.0,36.0,861f1886fffffff,2017-03-04 18:00:00
103,861f1886fffffff_2017-03-05 00:00:00,6.0,225.0,37.5,0.0,0.0,0.0,37.5,861f1886fffffff,2017-03-05 00:00:00
104,861f1886fffffff_2017-03-05 06:00:00,49.0,3950.0,80.61224489795919,0.0,0.0,0.0,80.61224489795919,861f1886fffffff,2017-03-05 06:00:00
105,861f1886fffffff_2017-03-05 12:00:00,55.0,3800.0,69.0909090909091,2.0,100.0,50.0,68.42105263157895,861f1886fffffff,2017-03-05 12:00:00
106,861f1886fffffff_2017-03-05 18:00:00,25.0,900.0,36.0,0.0,0.0,0.0,36.0,861f1886fffffff,2017-03-05 18:00:00
107,861f1886fffffff_2017-03-06 00:00:00,12.0,380.0,31.66666666666667,2.0,105.0,52.5,34.642857142857146,861f1886fffffff,2017-03-06 00:00:00
108,861f1886fffffff_2017-03-06 06:00:00,43.0,3280.0,76.27906976744184,1.0,35.0,35.0,75.3409090909091,861f1886fffffff,2017-03-06 06:00:00
109,861f1886fffffff_2017-03-06 12:00:00,37.0,1730.0,46.75675675675675,2.0,100.0,50.0,46.92307692307692,861f1886fffffff,2017-03-06 12:00:00
110,861f1886fffffff_2017-03-06 18:00:00,35.0,2455.0,70.14285714285714,1.0,30.0,30.0,69.02777777777777,861f1886fffffff,2017-03-06 18:00:00
111,861f1886fffffff_2017-03-07 00:00:00,18.0,1405.0,78.05555555555556,2.0,70.0,35.0,73.75,861f1886fffffff,2017-03-07 00:00:00
112,861f1886fffffff_2017-03-07 06:00:00,45.0,3035.0,67.44444444444444,3.0,85.0,28.33333333333333,65.0,861f1886fffffff,2017-03-07 06:00:00
113,861f1886fffffff_2017-03-07 12:00:00,63.0,3790.0,60.15873015873015,0.0,0.0,0.0,60.15873015873016,861f1886fffffff,2017-03-07 12:00:00
114,861f1886fffffff_2017-03-07 18:00:00,39.0,1795.0,46.02564102564103,0.0,0.0,0.0,46.02564102564103,861f1886fffffff,2017-03-07 18:00:00
115,861f1886fffffff_2017-03-08 00:00:00,8.0,330.0,41.25,0.0,0.0,0.0,41.25,861f1886fffffff,2017-03-08 00:00:00
116,861f1886fffffff_2017-03-08 06:00:00,51.0,2945.0,57.74509803921568,1.0,30.0,30.0,57.21153846153846,861f1886fffffff,2017-03-08 06:00:00
117,861f1886fffffff_2017-03-08 12:00:00,40.0,1920.0,48.0,0.0,0.0,0.0,48.0,861f1886fffffff,2017-03-08 12:00:00
118,861f1886fffffff_2017-03-08 18:00:00,39.0,2370.0,60.769230769230774,1.0,240.0,240.0,65.25,861f1886fffffff,2017-03-08 18:00:00
119,861f1886fffffff_2017-03-09 00:00:00,10.0,570.0,57.0,0.0,0.0,0.0,57.0,861f1886fffffff,2017-03-09 00:00:00
120,861f1886fffffff_2017-03-09 06:00:00,54.0,3470.0,64.25925925925925,3.0,160.0,53.33333333333334,63.68421052631579,861f1886fffffff,2017-03-09 06:00:00
121,861f1886fffffff_2017-03-09 12:00:00,59.0,3430.0,58.135593220338976,1.0,30.0,30.0,57.666666666666664,861f1886fffffff,2017-03-09 12:00:00
122,861f1886fffffff_2017-03-09 18:00:00,52.0,3670.0,70.57692307692308,1.0,40.0,40.0,70.0,861f1886fffffff,2017-03-09 18:00:00
123,861f1886fffffff_2017-03-10 00:00:00,11.0,460.0,41.81818181818182,0.0,0.0,0.0,41.81818181818182,861f1886fffffff,2017-03-10 00:00:00
124,861f1886fffffff_2017-03-10 06:00:00,62.0,4095.0,66.04838709677419,1.0,40.0,40.0,65.63492063492063,861f1886fffffff,2017-03-10 06:00:00
125,861f1886fffffff_2017-03-10 12:00:00,61.0,4165.0,68.27868852459017,3.0,85.0,28.33333333333333,66.40625,861f1886fffffff,2017-03-10 12:00:00
126,861f1886fffffff_2017-03-10 18:00:00,34.0,1675.0,49.264705882352935,0.0,0.0,0.0,49.26470588235294,861f1886fffffff,2017-03-10 18:00:00
127,861f1886fffffff_2017-03-11 00:00:00,10.0,390.0,39.0,2.0,100.0,50.0,40.833333333333336,861f1886fffffff,2017-03-11 00:00:00
128,861f1886fffffff_2017-03-11 06:00:00,56.0,3350.0,59.82142857142857,0.0,0.0,0.0,59.82142857142857,861f1886fffffff,2017-03-11 06:00:00
129,861f1886fffffff_2017-03-11 12:00:00,62.0,4290.0,69.19354838709678,1.0,25.0,25.0,68.4920634920635,861f1886fffffff,2017-03-11 12:00:00
130,861f1886fffffff_2017-03-11 18:00:00,40.0,3190.0,79.75,1.0,35.0,35.0,78.65853658536585,861f1886fffffff,2017-03-11 18:00:00
131,861f1886fffffff_2017-03-12 00:00:00,13.0,440.0,33.846153846153854,0.0,0.0,0.0,33.84615384615385,861f1886fffffff,2017-03-12 00:00:00
132,861f1886fffffff_2017-03-12 06:00:00,20.0,2615.0,130.75,0.0,0.0,0.0,130.75,861f1886fffffff,2017-03-12 06:00:00
133,861f1886fffffff_2017-03-12 12:00:00,60.0,3375.0,56.25,0.0,0.0,0.0,56.25,861f1886fffffff,2017-03-12 12:00:00
134,861f1886fffffff_2017-03-12 18:00:00,20.0,950.0,47.5,2.0,60.0,30.0,45.90909090909091,861f1886fffffff,2017-03-12 18:00:00
135,861f1886fffffff_2017-03-13 00:00:00,5.0,665.0,133.0,0.0,0.0,0.0,133.0,861f1886fffffff,2017-03-13 00:00:00
136,861f1886fffffff_2017-03-13 06:00:00,48.0,4050.0,84.375,3.0,85.0,28.33333333333333,81.07843137254902,861f1886fffffff,2017-03-13 06:00:00
137,861f1886fffffff_2017-03-13 12:00:00,37.0,3415.0,92.29729729729729,6.0,200.0,33.333333333333336,84.06976744186046,861f1886fffffff,2017-03-13 12:00:00
138,861f1886fffffff_2017-03-13 18:00:00,11.0,1465.0,133.1818181818182,1.0,45.0,45.0,125.83333333333333,861f1886fffffff,2017-03-13 18:00:00
139,861f1886fffffff_2017-03-14 00:00:00,9.0,265.0,29.444444444444446,0.0,0.0,0.0,29.444444444444443,861f1886fffffff,2017-03-14 00:00:00
140,861f1886fffffff_2017-03-14 06:00:00,50.0,3945.0,78.9,2.0,130.0,65.0,78.36538461538461,861f1886fffffff,2017-03-14 06:00:00
141,861f1886fffffff_2017-03-14 12:00:00,49.0,2995.0,61.122448979591844,2.0,75.0,37.5,60.19607843137255,861f1886fffffff,2017-03-14 12:00:00
142,861f1886fffffff_2017-03-14 18:00:00,37.0,2645.0,71.48648648648648,0.0,0.0,0.0,71.48648648648648,861f1886fffffff,2017-03-14 18:00:00
143,861f1886fffffff_2017-03-15 00:00:00,7.0,345.0,49.28571428571429,1.0,50.0,50.0,49.375,861f1886fffffff,2017-03-15 00:00:00
144,861f1886fffffff_2017-03-15 06:00:00,43.0,2985.0,69.4186046511628,0.0,0.0,0.0,69.4186046511628,861f1886fffffff,2017-03-15 06:00:00
145,861f1886fffffff_2017-03-15 12:00:00,68.0,5210.0,76.61764705882355,3.0,90.0,30.0,74.64788732394366,861f1886fffffff,2017-03-15 12:00:00
146,861f1886fffffff_2017-03-15 18:00:00,26.0,1130.0,43.46153846153846,6.0,240.0,40.0,42.8125,861f1886fffffff,2017-03-15 18:00:00
147,861f1886fffffff_2017-03-16 00:00:00,8.0,325.0,40.625,0.0,0.0,0.0,40.625,861f1886fffffff,2017-03-16 00:00:00
148,861f1886fffffff_2017-03-16 06:00:00,50.0,3690.0,73.8,5.0,195.0,39.0,70.63636363636364,861f1886fffffff,2017-03-16 06:00:00
149,861f1886fffffff_2017-03-16 12:00:00,57.0,3240.0,56.842105263157904,0.0,0.0,0.0,56.8421052631579,861f1886fffffff,2017-03-16 12:00:00
150,861f1886fffffff_2017-03-16 18:00:00,32.0,1135.0,35.46875,0.0,0.0,0.0,35.46875,861f1886fffffff,2017-03-16 18:00:00
151,861f1886fffffff_2017-03-17 00:00:00,12.0,855.0,71.25,0.0,0.0,0.0,71.25,861f1886fffffff,2017-03-17 00:00:00
152,861f1886fffffff_2017-03-17 06:00:00,77.0,5570.0,72.33766233766234,4.0,215.0,53.75,71.41975308641975,861f1886fffffff,2017-03-17 06:00:00
153,861f1886fffffff_2017-03-17 12:00:00,51.0,3280.0,64.31372549019608,2.0,110.0,55.0,63.9622641509434,861f1886fffffff,2017-03-17 12:00:00
154,861f1886fffffff_2017-03-17 18:00:00,33.0,1105.0,33.484848484848484,0.0,0.0,0.0,33.484848484848484,861f1886fffffff,2017-03-17 18:00:00
155,861f1886fffffff_2017-03-18 00:00:00,4.0,215.0,53.75,0.0,0.0,0.0,53.75,861f1886fffffff,2017-03-18 00:00:00
156,861f1886fffffff_2017-03-18 06:00:00,72.0,4730.0,65.69444444444444,1.0,35.0,35.0,65.27397260273973,861f1886fffffff,2017-03-18 06:00:00
157,861f1886fffffff_2017-03-18 12:00:00,79.0,5935.0,75.12658227848101,3.0,100.0,33.333333333333336,73.59756097560975,861f1886fffffff,2017-03-18 12:00:00
158,861f1886fffffff_2017-03-18 18:00:00,61.0,4900.0,80.327868852459,1.0,40.0,40.0,79.6774193548387,861f1886fffffff,2017-03-18 18:00:00
159,861f1886fffffff_2017-03-19 00:00:00,3.0,85.0,28.33333333333333,0.0,0.0,0.0,28.333333333333332,861f1886fffffff,2017-03-19 00:00:00
160,861f1886fffffff_2017-03-19 06:00:00,40.0,2075.0,51.875,0.0,0.0,0.0,51.875,861f1886fffffff,2017-03-19 06:00:00
161,861f1886fffffff_2017-03-19 12:00:00,72.0,4700.0,65.27777777777777,3.0,1305.0,435.0,80.06666666666666,861f1886fffffff,2017-03-19 12:00:00
162,861f1886fffffff_2017-03-19 18:00:00,27.0,1610.0,59.62962962962962,0.0,0.0,0.0,59.629629629629626,861f1886fffffff,2017-03-19 18:00:00
163,861f1886fffffff_2017-03-20 00:00:00,8.0,1325.0,165.625,0.0,0.0,0.0,165.625,861f1886fffffff,2017-03-20 00:00:00
164,861f1886fffffff_2017-03-20 06:00:00,38.0,1890.0,49.73684210526316,2.0,175.0,87.5,51.625,861f1886fffffff,2017-03-20 06:00:00
165,861f1886fffffff_2017-03-20 12:00:00,38.0,2095.0,55.131578947368425,2.0,165.0,82.5,56.5,861f1886fffffff,2017-03-20 12:00:00
166,861f1886fffffff_2017-03-20 18:00:00,20.0,715.0,35.75,0.0,0.0,0.0,35.75,861f1886fffffff,2017-03-20 18:00:00
167,861f1886fffffff_2017-03-21 00:00:00,9.0,430.0,47.77777777777778,0.0,0.0,0.0,47.77777777777778,861f1886fffffff,2017-03-21 00:00:00
