,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
424,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b27ffffff,POINT (13.39530441655258 52.47313387921053),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.39530441655258 52.47313387921053)",11.591467153949688,2,12.22728561788434
425,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b57ffffff,POINT (13.59617996879917 52.39883051010078),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.59617996879917 52.39883051010078)",25.548131739365168,5,30.56821404471085
426,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18867ffffff,POINT (13.14795621198939 52.45778129900459),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.14795621198939 52.45778129900459)",18.911790301113083,3,18.34092842682651
427,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d41fffffff,POINT (13.42022791909618 52.61262856955771),True,"LINESTRING (13.35201703555793 52.57399647913816, 13.42022791909618 52.61262856955771)",6.299344469800426,1,6.11364280894217
428,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4d7ffffff,POINT (13.46344745765333 52.51179276736553),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.46344745765333 52.51179276736553)",10.228631488434747,2,12.22728561788434
429,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4c7ffffff,POINT (13.53168546056333 52.55039834100136),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.53168546056333 52.55039834100136)",12.424988190613458,2,12.22728561788434
430,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1886fffffff,POINT (13.23760774875245 52.4461383572344),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.23760774875245 52.4461383572344)",16.188813974125797,3,18.34092842682651
431,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4dfffffff,POINT (13.55321456974186 52.49992295708295),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.55321456974186 52.49992295708295)",15.906438786667556,3,18.34092842682651
432,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18847ffffff,POINT (13.16971616589165 52.40733368498856),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.16971616589165 52.40733368498856)",33.71188472365778,6,36.68185685365302
433,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.48853411873143 52.65120726058531)",26.58088319349105,5,30.56821404471085
434,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d497ffffff,POINT (13.21588119001533 52.49657269480686),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.21588119001533 52.49657269480686)",31.087901550802105,5,30.56821404471085
435,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4f7ffffff,POINT (13.44185323329728 52.56223431616588),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.44185323329728 52.56223431616588)",20.483386902189572,4,24.45457123576868
436,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d49fffffff,POINT (13.30559444899624 52.48489011930791),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.30559444899624 52.48489011930791)",24.876467250015555,4,24.45457123576868
437,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b2fffffff,POINT (13.48501065303956 52.46130395682968),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.48501065303956 52.46130395682968)",12.444360506104392,2,12.22728561788434
438,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4cfffffff,POINT (13.62151327599771 52.53848853710102),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.62151327599771 52.53848853710102)",11.607256653094138,2,12.22728561788434
439,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d417ffffff,POINT (13.33032663790643 52.62435681728144),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.33032663790643 52.62435681728144)",30.704323002623813,6,36.68185685365302
440,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4b7ffffff,POINT (13.19412345893519 52.54695973334255),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.19412345893519 52.54695973334255)",34.08996292079694,6,36.68185685365302
441,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d48fffffff,POINT (13.37367627480208 52.52358882193953),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.37367627480208 52.52358882193953)",21.896327317695768,4,24.45457123576868
442,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b77ffffff,POINT (13.57471271892214 52.4494003353978),True,"LINESTRING (13.66441017478797 52.43742299906616, 13.57471271892214 52.4494003353978)",6.223707174848333,1,6.11364280894217
443,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b0fffffff,POINT (13.50654288019152 52.41076791856435),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.50654288019152 52.41076791856435)",11.107409109683344,2,12.22728561788434
444,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b07ffffff,POINT (13.4169015215838 52.42263168480854),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.4169015215838 52.42263168480854)",16.861206234279777,3,18.34092842682651
445,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b37ffffff,POINT (13.32725633154396 52.43442182525305),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.32725633154396 52.43442182525305)",22.858006608003652,4,24.45457123576868
