,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
536,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4b0ffffff,POINT (13.19412345893519 52.54695973334256),False,9,20.448826000000007
537,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4d6ffffff,POINT (13.42806090101428 52.50964952840497),False,2,4.521933999999998
538,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d498ffffff,POINT (13.30559444899624 52.48489011930791),False,4,9.886358
539,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b0dffffff,POINT (13.52293757228236 52.42903296738042),False,4,9.290457
540,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4a9ffffff,POINT (13.38742598300525 52.57616389796978),False,6,13.187462999999997
541,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18868ffffff,POINT (13.23760774875245 52.4461383572344),False,6,16.519094999999997
542,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b2effffff,POINT (13.44964751088817 52.45916847535275),True,1,2.5023990000000005
543,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4d1ffffff,POINT (13.49884059630979 52.51392563990274),False,3,7.909787999999998
544,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4d4ffffff,POINT (13.44445397798351 52.52789774647812),False,3,7.57297
545,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b20ffffff,POINT (13.39530441655258 52.47313387921053),True,1,4.9721860000000015
546,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4abffffff,POINT (13.37103988238334 52.5579219431886),False,5,11.378725000000001
547,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d485ffffff,POINT (13.30025316333029 52.55356811412267),False,6,15.234804
548,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4d0ffffff,POINT (13.46344745765333 52.51179276736553),False,2,6.167105999999999
549,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d483ffffff,POINT (13.30292516845383 52.51923846998142),False,5,11.412403
550,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),False,8,18.147565000000004
551,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d482ffffff,POINT (13.26755965181566 52.51704777196807),False,2,5.556506000000001
552,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d48effffff,POINT (13.33829738447166 52.52141882174294),False,4,10.663612000000002
553,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d48cffffff,POINT (13.35466368497277 52.53967358270499),False,5,13.443482000000003
554,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4f2ffffff,POINT (13.42545257283741 52.54399459631815),False,7,17.745291999999996
555,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d48affffff,POINT (13.35730763436909 52.50533197221475),False,5,11.328613
556,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b34ffffff,POINT (13.30826100911115 52.45052307174103),False,5,13.317758000000007
557,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4f0ffffff,POINT (13.44185323329728 52.56223431616588),False,8,19.54739
558,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18869ffffff,POINT (13.27293102556563 52.4483358777895),False,4,12.891553000000002
559,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),False,8,18.542283
560,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),False,0,0.0
561,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),False,6,14.341445000000004
562,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),False,7,16.029896999999995
563,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d481ffffff,POINT (13.31927922770562 52.53749753655836),False,4,11.452008
564,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4deffffff,POINT (13.51782052121785 52.49780649464314),False,10,24.418380000000003
565,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d2ffffff,POINT (13.44705206916438 52.49354246299598),False,8,18.383150000000004
566,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d49effffff,POINT (13.27024670775531 52.4827011724122),False,3,8.801431000000003
567,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d48dffffff,POINT (13.3900548083934 52.54183927105417),False,6,15.378958000000003
568,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b25ffffff,POINT (13.41167771596202 52.4913949042375),False,7,15.770775000000004
569,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d488ffffff,POINT (13.37367627480208 52.52358882193953),False,5,12.841702
570,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b24ffffff,POINT (13.37630997814494 52.48923699051952),False,6,13.419524
571,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b26ffffff,POINT (13.35994888786519 52.47097165727213),False,6,13.617275000000008
572,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b04ffffff,POINT (13.3979252074993 52.43875313355331),False,8,18.506574000000004
573,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d49cffffff,POINT (13.28658099723958 52.50097301352019),False,3,6.608968000000001
574,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4b2ffffff,POINT (13.17780856172941 52.52868988040235),True,1,2.8801059999999996
575,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4f3ffffff,POINT (13.46085695314495 52.54613955322785),False,8,20.263165999999995
576,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b2cffffff,POINT (13.46603531957765 52.47742727161366),False,9,20.023983
577,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d49bffffff,POINT (13.32460000781337 52.4687990918736),False,5,11.712622000000001
578,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d49dffffff,POINT (13.32194097457933 52.50315766553212),False,4,8.921826000000001
579,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4a8ffffff,POINT (13.35201703555793 52.57399647913816),False,6,15.627806000000005
580,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4aeffffff,POINT (13.31661476304758 52.57181869534616),False,5,13.575407
581,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4f6ffffff,POINT (13.4064432414357 52.56008331433108),False,7,17.988114000000003
582,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d489ffffff,POINT (13.40906181434824 52.52574846527658),False,6,15.760026000000005
583,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d499ffffff,POINT (13.34094888080296 52.4870687271131),False,5,11.41939400000001
584,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4aaffffff,POINT (13.33564318130369 52.5557502080193),False,5,13.905354000000003
585,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d486ffffff,POINT (13.24853041200324 52.53311439211661),False,2,6.577115
586,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4b3ffffff,POINT (13.2131661036788 52.53090730448986),True,1,2.7215329999999995
587,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d48bffffff,POINT (13.3926809515452 52.50749592826664),False,6,14.00205
588,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d3ffffff,POINT (13.48243301263263 52.49567966154245),False,9,21.421658999999995
589,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d49affffff,POINT (13.28925780142406 52.46661618831142),False,4,10.500018000000006
590,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d5ffffff,POINT (13.4798527405517 52.53003666028679),False,8,20.609719999999996
591,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4b0ffffff,POINT (13.19412345893519 52.54695973334256),False,2,4.022858999999999
592,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d6ffffff,POINT (13.42806090101428 52.50964952840497),False,7,16.813500999999995
593,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d498ffffff,POINT (13.30559444899624 52.48489011930791),False,4,11.152047000000003
594,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b0dffffff,POINT (13.52293757228236 52.42903296738042),False,12,26.766670999999995
595,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4a9ffffff,POINT (13.38742598300525 52.57616389796978),False,7,17.847827999999996
596,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18868ffffff,POINT (13.23760774875245 52.4461383572344),False,4,13.590976
597,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b2effffff,POINT (13.44964751088817 52.45916847535275),False,9,19.978613
