,key_6hex_6h,y_true,hex_id_6hex,timestamp
3474,861f18847ffffff_2017-01-18 06:00:00,0.0,861f18847ffffff,2017-01-18 06:00:00
3492,861f18847ffffff_2017-01-18 12:00:00,5.0,861f18847ffffff,2017-01-18 12:00:00
3510,861f18847ffffff_2017-01-18 18:00:00,9.0,861f18847ffffff,2017-01-18 18:00:00
3528,861f18847ffffff_2017-01-19 00:00:00,1.0,861f18847ffffff,2017-01-19 00:00:00
3546,861f18847ffffff_2017-01-19 06:00:00,0.0,861f18847ffffff,2017-01-19 06:00:00
3564,861f18847ffffff_2017-01-19 12:00:00,5.0,861f18847ffffff,2017-01-19 12:00:00
3582,861f18847ffffff_2017-01-19 18:00:00,0.0,861f18847ffffff,2017-01-19 18:00:00
3600,861f18847ffffff_2017-01-20 00:00:00,2.0,861f18847ffffff,2017-01-20 00:00:00
3618,861f18847ffffff_2017-01-20 06:00:00,0.0,861f18847ffffff,2017-01-20 06:00:00
3636,861f18847ffffff_2017-01-20 12:00:00,9.0,861f18847ffffff,2017-01-20 12:00:00
3654,861f18847ffffff_2017-01-20 18:00:00,2.0,861f18847ffffff,2017-01-20 18:00:00
3672,861f18847ffffff_2017-01-21 00:00:00,1.0,861f18847ffffff,2017-01-21 00:00:00
3690,861f18847ffffff_2017-01-21 06:00:00,0.0,861f18847ffffff,2017-01-21 06:00:00
3708,861f18847ffffff_2017-01-21 12:00:00,3.0,861f18847ffffff,2017-01-21 12:00:00
3726,861f18847ffffff_2017-01-21 18:00:00,1.0,861f18847ffffff,2017-01-21 18:00:00
3744,861f18847ffffff_2017-01-22 00:00:00,0.0,861f18847ffffff,2017-01-22 00:00:00
3762,861f18847ffffff_2017-01-22 06:00:00,1.0,861f18847ffffff,2017-01-22 06:00:00
3780,861f18847ffffff_2017-01-22 12:00:00,0.0,861f18847ffffff,2017-01-22 12:00:00
3798,861f18847ffffff_2017-01-22 18:00:00,0.0,861f18847ffffff,2017-01-22 18:00:00
3816,861f18847ffffff_2017-01-23 00:00:00,1.0,861f18847ffffff,2017-01-23 00:00:00
3834,861f18847ffffff_2017-01-23 06:00:00,0.0,861f18847ffffff,2017-01-23 06:00:00
