Hex,timestamp,Total_rentals,Own_rentals_post_reloc,Own_rentals_base_pre_reloc,Own_rentals_delta,Lost_market_demand_pre,Lost_market_demand_post,Own_rentals_cum_delta,Own_relocs_cum_delta
861f1d4b7ffffff,2017-03-17T12:00:00.0,50,47,47,0,0,0,1,-43
861f18b0fffffff,2017-03-17T12:00:00.0,77,33,32,1,0,0,4,4
861f1d4dfffffff,2017-03-17T12:00:00.0,19,1,1,0,0,0,6,7
861f1d48fffffff,2017-03-17T18:00:00.0,1354,620,612,8,0,0,77,0
861f1d4d7ffffff,2017-03-17T18:00:00.0,1024,442,437,5,0,0,53,0
861f1d49fffffff,2017-03-17T18:00:00.0,842,400,395,5,0,0,38,-13
861f18b27ffffff,2017-03-17T18:00:00.0,823,383,379,4,0,0,39,0
861f1d4f7ffffff,2017-03-17T18:00:00.0,451,180,178,2,0,0,22,0
861f1d487ffffff,2017-03-17T18:00:00.0,300,137,139,-2,0,0,39,39
861f1d4afffffff,2017-03-17T18:00:00.0,169,93,92,1,0,0,14,0
861f18b37ffffff,2017-03-17T18:00:00.0,155,72,72,0,0,0,4,-6
861f18b2fffffff,2017-03-17T18:00:00.0,63,34,35,-1,0,0,-2,-11
861f1886fffffff,2017-03-17T18:00:00.0,31,0,1,-1,0,0,19,19
861f1d4b7ffffff,2017-03-17T18:00:00.0,67,63,63,0,0,0,1,-39
861f18b0fffffff,2017-03-17T18:00:00.0,85,36,36,0,0,0,4,4
861f1d4dfffffff,2017-03-17T18:00:00.0,13,1,1,0,0,0,6,7
861f1d48fffffff,2017-03-18T00:00:00.0,279,142,140,2,0,0,79,0
861f1d4d7ffffff,2017-03-18T00:00:00.0,398,181,176,5,0,0,58,0
861f1d49fffffff,2017-03-18T00:00:00.0,195,107,105,2,0,0,40,-13
861f18b27ffffff,2017-03-18T00:00:00.0,243,122,120,2,0,0,41,0
861f1d4f7ffffff,2017-03-18T00:00:00.0,117,53,51,2,0,0,24,0
861f1d487ffffff,2017-03-18T00:00:00.0,61,28,28,0,0,0,39,39
861f1d4afffffff,2017-03-18T00:00:00.0,36,21,20,1,0,0,15,0
861f18b37ffffff,2017-03-18T00:00:00.0,39,21,20,1,0,0,5,-6
861f18b2fffffff,2017-03-18T00:00:00.0,28,14,15,-1,0,0,-3,-11
861f1886fffffff,2017-03-18T00:00:00.0,4,0,0,0,0,0,19,19
861f1d4b7ffffff,2017-03-18T00:00:00.0,21,21,20,1,0,0,2,-39
861f18b0fffffff,2017-03-18T00:00:00.0,6,2,2,0,0,0,4,4
861f1d4dfffffff,2017-03-18T00:00:00.0,9,0,0,0,0,0,6,7
861f1d48fffffff,2017-03-18T06:00:00.0,946,467,462,5,0,0,84,0
861f1d4d7ffffff,2017-03-18T06:00:00.0,844,355,350,5,0,0,63,0
861f1d49fffffff,2017-03-18T06:00:00.0,654,325,321,4,0,0,44,-13
861f18b27ffffff,2017-03-18T06:00:00.0,615,309,305,4,0,0,45,0
861f1d4f7ffffff,2017-03-18T06:00:00.0,371,159,157,2,0,0,26,0
861f1d487ffffff,2017-03-18T06:00:00.0,204,97,95,2,0,0,41,41
861f1d4afffffff,2017-03-18T06:00:00.0,167,99,99,0,0,0,15,0
861f18b37ffffff,2017-03-18T06:00:00.0,131,76,75,1,0,0,6,-6
861f18b2fffffff,2017-03-18T06:00:00.0,82,46,45,1,0,0,-2,-11
861f1886fffffff,2017-03-18T06:00:00.0,72,2,2,0,0,0,19,19
861f1d4b7ffffff,2017-03-18T06:00:00.0,48,46,46,0,0,0,2,-41
861f18b0fffffff,2017-03-18T06:00:00.0,28,12,11,1,0,0,5,4
861f1d4dfffffff,2017-03-18T06:00:00.0,34,3,2,1,0,0,7,7
861f1d48fffffff,2017-03-18T12:00:00.0,1870,879,870,9,0,0,93,0
861f1d4d7ffffff,2017-03-18T12:00:00.0,1178,501,495,6,0,0,69,0
861f1d49fffffff,2017-03-18T12:00:00.0,1110,539,534,5,0,0,49,-13
861f18b27ffffff,2017-03-18T12:00:00.0,946,444,440,4,0,0,49,0
861f1d4f7ffffff,2017-03-18T12:00:00.0,474,184,182,2,0,0,28,0
861f1d487ffffff,2017-03-18T12:00:00.0,331,157,155,2,0,0,43,42
861f1d4afffffff,2017-03-18T12:00:00.0,241,151,149,2,0,0,17,0
861f18b37ffffff,2017-03-18T12:00:00.0,194,93,92,1,0,0,7,-6
861f18b2fffffff,2017-03-18T12:00:00.0,78,38,38,0,0,0,-2,-11
861f1886fffffff,2017-03-18T12:00:00.0,80,2,2,0,0,0,19,19
861f1d4b7ffffff,2017-03-18T12:00:00.0,58,54,55,-1,0,0,1,-42
861f18b0fffffff,2017-03-18T12:00:00.0,37,15,15,0,0,0,5,2
861f1d4dfffffff,2017-03-18T12:00:00.0,41,6,5,1,0,0,8,9
861f1d48fffffff,2017-03-18T18:00:00.0,1593,694,686,8,0,0,101,0
861f1d4d7ffffff,2017-03-18T18:00:00.0,1245,520,515,5,0,0,74,0
861f1d49fffffff,2017-03-18T18:00:00.0,893,400,396,4,0,0,53,-13
861f18b27ffffff,2017-03-18T18:00:00.0,854,403,398,5,0,0,54,0
861f1d4f7ffffff,2017-03-18T18:00:00.0,499,196,194,2,0,0,30,0
861f1d487ffffff,2017-03-18T18:00:00.0,231,108,108,0,0,0,43,42
861f1d4afffffff,2017-03-18T18:00:00.0,180,106,104,2,0,0,19,0
861f18b37ffffff,2017-03-18T18:00:00.0,149,68,67,1,0,0,8,-6
861f18b2fffffff,2017-03-18T18:00:00.0,103,50,53,-3,0,0,-5,-19
861f1886fffffff,2017-03-18T18:00:00.0,62,1,1,0,0,0,19,19
861f1d4b7ffffff,2017-03-18T18:00:00.0,54,54,53,1,0,0,2,-42
861f18b0fffffff,2017-03-18T18:00:00.0,65,30,27,3,0,0,8,10
861f1d4dfffffff,2017-03-18T18:00:00.0,25,4,4,0,0,0,8,9
861f1d48fffffff,2017-03-19T00:00:00.0,383,175,171,4,0,0,105,0
861f1d4d7ffffff,2017-03-19T00:00:00.0,435,182,178,4,0,0,78,0
861f1d49fffffff,2017-03-19T00:00:00.0,168,81,79,2,0,0,55,-13
861f18b27ffffff,2017-03-19T00:00:00.0,262,127,125,2,0,0,56,0
861f1d4f7ffffff,2017-03-19T00:00:00.0,118,54,52,2,0,0,32,0
861f1d487ffffff,2017-03-19T00:00:00.0,42,20,20,0,0,0,43,42
861f1d4afffffff,2017-03-19T00:00:00.0,39,23,22,1,0,0,20,0
861f18b37ffffff,2017-03-19T00:00:00.0,31,15,14,1,0,0,9,-6
861f18b2fffffff,2017-03-19T00:00:00.0,32,17,16,1,0,0,-4,-19
861f1886fffffff,2017-03-19T00:00:00.0,3,0,0,0,0,0,19,19
861f1d4b7ffffff,2017-03-19T00:00:00.0,16,15,15,0,0,0,2,-42
